state,year,annual_median_wage,poverty_rate,median_household_income,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Alabama,2011,29850,0.1914,41415.0,176.0,599,0.0012,0.0001,0.0704,0.0198
Alaska,2011,42960,0.1031,67825.0,66.0,1115,0.0029,0.0001,0.0746,0.0108
Arizona,2011,34110,0.1914,46709.0,562.0,831,0.0016,0.0002,0.0785,0.0062
Arkansas,2011,28460,0.1869,38758.0,169.0,570,0.0012,0.0001,0.0669,0.0181
California,2011,38530,0.1665,57287.0,1938.0,1089,0.0033,0.0001,0.0333,0.0129
Colorado,2011,37070,0.1335,55387.0,418.0,800,0.003,0.0002,0.0487,0.0118
Connecticut,2011,41320,0.1092,65753.0,209.0,1141,0.0012,0.0001,0.0397,0.0242
Delaware,2011,36180,0.1228,58814.0,113.0,880,0.0011,0.0002,0.0844,0.0145
Florida,2011,30770,0.1706,44299.0,1576.0,834,0.003,0.0002,0.1008,0.0105
Georgia,2011,31720,0.1914,46007.0,535.0,641,0.0021,0.0001,0.0621,0.0142
Hawaii,2011,36270,0.1221,61821.0,77.0,1460,0.0045,0.0001,0.0535,0.0168
Idaho,2011,30170,0.1544,43341.0,77.0,662,0.0014,0.0001,0.0595,0.0079
Illinois,2011,35260,0.1472,53234.0,907.0,649,0.0011,0.0001,0.0434,0.0183
Indiana,2011,31280,0.1574,46438.0,356.0,668,0.001,0.0001,0.0512,0.0147
Iowa,2011,31180,0.128,49427.0,172.0,590,0.001,0.0001,0.0404,0.0135
Kansas,2011,30820,0.1417,48964.0,118.0,610,0.0009,0.0001,0.0474,0.0126
Kentucky,2011,30420,0.1956,41141.0,669.0,579,0.0014,0.0002,0.0596,0.019
Louisiana,2011,30730,0.2021,41734.0,116.0,681,0.002,0.0001,0.0605,0.0212
Maine,2011,32510,0.1425,46033.0,85.0,737,0.0018,0.0001,0.1307,0.0205
Maryland,2011,40470,0.1012,70004.0,546.0,1094,0.0017,0.0001,0.044,0.0183
Massachusetts,2011,42730,0.117,62859.0,655.0,1119,0.0025,0.0001,0.0434,0.0297
Michigan,2011,34260,0.1703,45981.0,714.0,651,0.0013,0.0001,0.0762,0.0159
Minnesota,2011,36470,0.1161,56954.0,286.0,666,0.0014,0.0001,0.0482,0.0165
Mississippi,2011,27270,0.2259,36919.0,79.0,630,0.0008,0.0001,0.0674,0.0189
Missouri,2011,31170,0.1588,45247.0,595.0,596,0.0015,0.0002,0.0636,0.0156
Montana,2011,29390,0.1401,44222.0,63.0,636,0.0018,0.0001,0.0852,0.0144
Nebraska,2011,30830,0.1192,50296.0,53.0,580,0.0019,0.0001,0.042,0.0151
Nevada,2011,32650,0.1612,48927.0,461.0,827,0.0034,0.0002,0.0743,0.0082
New Hampshire,2011,35330,0.088,62647.0,154.0,932,0.0011,0.0002,0.0767,0.0164
New Jersey,2011,39530,0.103,67458.0,454.0,1228,0.0016,0.0001,0.0448,0.0195
New Mexico,2011,31040,0.2143,41963.0,243.0,619,0.0017,0.0003,0.0677,0.0126
New York,2011,39560,0.1585,55246.0,1356.0,903,0.0033,0.0001,0.0478,0.0318
North Carolina,2011,31540,0.1774,43916.0,822.0,663,0.0013,0.0001,0.0704,0.0132
North Dakota,2011,32040,0.1101,51704.0,10.0,564,0.0009,0.0,0.0547,0.0197
Ohio,2011,32590,0.1642,45749.0,1272.0,652,0.0011,0.0002,0.0515,0.0199
Oklahoma,2011,29660,0.1758,43225.0,483.0,589,0.0012,0.0002,0.0612,0.0141
Oregon,2011,35140,0.1696,46816.0,392.0,733,0.0045,0.0001,0.0432,0.0134
Pennsylvania,2011,34750,0.1358,50228.0,752.0,703,0.0012,0.0002,0.0504,0.0177
Rhode Island,2011,36870,0.1436,53636.0,142.0,1001,0.001,0.0002,0.0498,0.0361
South Carolina,2011,30050,0.1896,42367.0,243.0,640,0.0011,0.0001,0.0831,0.0136
South Dakota,2011,28660,0.1286,48321.0,34.0,563,0.001,0.0001,0.0526,0.0177
Tennessee,2011,30270,0.1811,41693.0,633.0,612,0.0014,0.0002,0.0565,0.0166
Texas,2011,32120,0.1837,49392.0,1178.0,664,0.0014,0.0001,0.0487,0.0111
Utah,2011,32050,0.1368,55869.0,381.0,707,0.0011,0.0002,0.0387,0.0066
Vermont,2011,34030,0.1098,52776.0,55.0,916,0.0018,0.0001,0.1069,0.0206
Virginia,2011,36300,0.1171,61882.0,575.0,824,0.0011,0.0001,0.049,0.0134
Washington,2011,40140,0.1405,56835.0,697.0,786,0.003,0.0001,0.0403,0.0128
West Virginia,2011,27990,0.1862,38482.0,550.0,573,0.0012,0.0003,0.0789,0.0184
Wisconsin,2011,33350,0.1356,50395.0,473.0,665,0.001,0.0001,0.063,0.0136
Wyoming,2011,36140,0.1126,56322.0,43.0,675,0.0018,0.0001,0.0758,0.0106
Alabama,2012,29950,0.1872,41574.0,165.0,579,0.0011,0.0001,0.0715,0.0197
Alaska,2012,43510,0.1144,67712.0,81.0,938,0.0026,0.0002,0.0766,0.0108
Arizona,2012,33980,0.1833,47826.0,526.0,755,0.0017,0.0002,0.0731,0.0062
Arkansas,2012,28690,0.1907,40112.0,169.0,547,0.0014,0.0001,0.0625,0.0181
